,Date,User_ID,Tweet_ID,Location,Tweets,Favorite Count,Retweet Count,Source
0,2022-04-27,1413027896,1519333168234520577,Join free newsletter here...,"Price to Earnings Ratios...
Clorox $CLX: 74
Kraft Heinz $KHC: 53
Altria $MO: 42
Walmart $WMT: 32
Colgate-Palmolive $CL: 32
PepsiCo $PEP: 32
Hershey $HSY: 31
Coca-Cola $KO: 28
Procter &amp; Gamble $PG: 28
Kroger $KR: 25
S&amp;P 500 $SPY: 21
---
Netflix $NFLX: 17
Facebook $FB: 13",1248,211,
1,2022-04-25,20402945,1518552046710005760,"Englewood Cliffs, NJ",Coca-Cola earnings beat Wall Street estimates as revenue jumps 16% https://t.co/wPKI78dZDF,67,23,https://cnb.cx/38nedDS
2,2022-04-27,1672810880,1519465810070175745,Free newsletter →,"5/ Coca Cola &amp; Procter &amp; Gamble

$PG and $KO are just off record levels.

$KO just posted a massive quarterly beat that almost doesn’t seem possible for a large-cap consumer company in a ‘Big Data’ age.",0,0,
3,2022-04-27,1480263258879766530,1519465358008139777,,"RT @charliebilello: Price to Earnings Ratios...
Clorox $CLX: 74
Kraft Heinz $KHC: 53
Altria $MO: 42
Walmart $WMT: 32
Colgate-Palmolive $CL:…",0,211,
9,2022-04-27,2665748041,1519449931647528969,,"RT @AndrewRDroste: Coca-Cola Say-on-Pay takes a beating: 50.54% support
 
Compare that with last year’s 94.3% support
 
$KO #ProxySeason #C…",0,1,
14,2022-04-27,1136370591517290496,1519441097155649538,,"RT @GritGrowthCap: I don’t understand the $KO and $GOOG comparisons I’ve seen lately, showing the two multiples as if are comparable. 

One…",0,1,
16,2022-04-27,1199726605217738758,1519433914275840004,"Boston, MA","Coca-Cola Say-on-Pay takes a beating: 50.54% support
 
Compare that with last year’s 94.3% support
 
$KO #ProxySeason #CorpGov #ExecPay #CEOpay https://t.co/JfImXRyNna",3,1,
25,2022-04-27,788403528507101184,1519424643731316738,,"I don’t understand the $KO and $GOOG comparisons I’ve seen lately, showing the two multiples as if are comparable. 

One company peddles toxic sludge to the American public, and the other is Coca Cola.",5,1,
30,2022-04-27,244185372,1519414664974766081,Kenya,"RT @StockMKTNewz: Coca-Cola $KO today declared a quarterly dividend of $0.44 per share unchanged from its previous dividend

Record date: J…",0,2,
32,2022-04-27,56600745,1519411595423612929,"Ann Arbor, MI",Coca-Cola (KO) Stock: $75 Price Target And Buy Rating https://t.co/IOqY8N5ehc,0,0,http://dlvr.it/SPMNSS
